Date ,Close 
20-Jun-12,21.03
21-Jun-12,19.94
22-Jun-12,20.58
25-Jun-12,21.57
26-Jun-12,20.23
27-Jun-12,20.37
28-Jun-12,20.62
29-Jun-12,19.08
02-Jul-12,19.01
03-Jul-12,18.56
04-Jul-12,18.27
05-Jul-12,18.35
06-Jul-12,18.04
09-Jul-12,18.72
10-Jul-12,17.83
11-Jul-12,18.39
12-Jul-12,18.71
13-Jul-12,18.26
16-Jul-12,18.77
17-Jul-12,17.78
18-Jul-12,17.44
19-Jul-12,16.38
20-Jul-12,16.89
23-Jul-12,18.66
24-Jul-12,16.97
25-Jul-12,16.75
26-Jul-12,16.37
27-Jul-12,16.44
30-Jul-12,16.6
31-Jul-12,16.01
01-Aug-12,16.45
02-Aug-12,16.77
03-Aug-12,16.12
06-Aug-12,16.22
07-Aug-12,16.21
08-Aug-12,16.37
09-Aug-12,16.33
10-Aug-12,16.07
13-Aug-12,16.01
14-Aug-12,15.64
16-Aug-12,15.69
17-Aug-12,15.73
21-Aug-12,16.3
22-Aug-12,16
23-Aug-12,16.12
24-Aug-12,16.16
27-Aug-12,16.47
28-Aug-12,16.35
29-Aug-12,16.74
30-Aug-12,16.67
31-Aug-12,17.3
03-Sep-12,17.28
04-Sep-12,16.59
05-Sep-12,17.01
06-Sep-12,16.98
07-Sep-12,15.26
08-Sep-12,14.76
10-Sep-12,15.27
11-Sep-12,15.38
12-Sep-12,15.04
13-Sep-12,15.67
14-Sep-12,15.38
17-Sep-12,17.78
18-Sep-12,17.83
20-Sep-12,18.62
21-Sep-12,18.93
24-Sep-12,18.83
25-Sep-12,17.11
26-Sep-12,16.97
27-Sep-12,16.91
28-Sep-12,16.16
01-Oct-12,16.34
03-Oct-12,16.5
04-Oct-12,16.44
05-Oct-12,16.78
08-Oct-12,17.17
09-Oct-12,16.8
10-Oct-12,16.83
11-Oct-12,16.49
12-Oct-12,16.49
15-Oct-12,15.9
16-Oct-12,15.57
17-Oct-12,15.17
18-Oct-12,14.76
19-Oct-12,14.54
22-Oct-12,13.04
23-Oct-12,13.71
25-Oct-12,13.52
26-Oct-12,14.21
29-Oct-12,15.12
30-Oct-12,15.17
31-Oct-12,14.4
01-Nov-12,14.08
02-Nov-12,13.66
05-Nov-12,14.63
06-Nov-12,15.21
07-Nov-12,14.51
08-Nov-12,14.22
09-Nov-12,14.37
12-Nov-12,14.86
13-Nov-12,14.91
15-Nov-12,15.53
16-Nov-12,16.22
19-Nov-12,16.68
20-Nov-12,15.81
21-Nov-12,15.46
22-Nov-12,14.91
23-Nov-12,14.68
26-Nov-12,14.67
27-Nov-12,13.96
29-Nov-12,15.37
30-Nov-12,15.15
03-Dec-12,15.62
04-Dec-12,15.91
05-Dec-12,16.62
06-Dec-12,15.24
07-Dec-12,14.96
10-Dec-12,14.51
11-Dec-12,14.67
12-Dec-12,14.51
13-Dec-12,14.71
14-Dec-12,14.23
17-Dec-12,14.92
18-Dec-12,14.44
19-Dec-12,14.47
20-Dec-12,14.32
21-Dec-12,14.63
24-Dec-12,14.49
26-Dec-12,14.1
27-Dec-12,13.74
28-Dec-12,13.63
31-Dec-12,14.95
09-Jan-13,13.32
10-Jan-13,13.27
11-Jan-13,13.23
14-Jan-13,13.7
15-Jan-13,13.58
16-Jan-13,13.99
17-Jan-13,14.01
18-Jan-13,13.89
21-Jan-13,13.66
22-Jan-13,13.89
23-Jan-13,13.67
24-Jan-13,14.46
25-Jan-13,14.77
28-Jan-13,15.17
29-Jan-13,14.47
30-Jan-13,14.38
31-Jan-13,14.13
01-Feb-13,13.76
04-Feb-13,14.34
05-Feb-13,14.61
06-Feb-13,14.26
07-Feb-13,14.89
08-Feb-13,15.16
11-Feb-13,15.65
12-Feb-13,15.31
13-Feb-13,15.14
14-Feb-13,15.09
15-Feb-13,15.24
18-Feb-13,16.29
19-Feb-13,15.81
20-Feb-13,15.6
21-Feb-13,16.94
22-Feb-13,16.79
25-Feb-13,16.73
26-Feb-13,17.36
27-Feb-13,16.23
28-Feb-13,14.86
01-Mar-13,14.06
04-Mar-13,13.67
05-Mar-13,13.39
06-Mar-13,13.4
07-Mar-13,13.07
08-Mar-13,13.34
11-Mar-13,14.25
12-Mar-13,15.13
13-Mar-13,16.2
14-Mar-13,14.66
15-Mar-13,15.16
18-Mar-13,15.85
19-Mar-13,16.71
20-Mar-13,16.66
21-Mar-13,16.51
22-Mar-13,15.54
25-Mar-13,16.36
26-Mar-13,15.8
28-Mar-13,15.22
01-Apr-13,14.85
02-Apr-13,14.1
03-Apr-13,14.87
04-Apr-13,15.85
05-Apr-13,16.16
08-Apr-13,16.77
09-Apr-13,16.82
10-Apr-13,16.49
11-Apr-13,16.97
12-Apr-13,16.45
15-Apr-13,16.61
16-Apr-13,16.25
17-Apr-13,16.36
18-Apr-13,15.36
22-Apr-13,16.22
23-Apr-13,15.07
25-Apr-13,14.2
26-Apr-13,13.88
29-Apr-13,14.33
30-Apr-13,15.1
02-May-13,16.28
03-May-13,15.55
06-May-13,15.84
07-May-13,16.5
08-May-13,16.76
09-May-13,16.6
